_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
88,2014-06-01T00:00:00,92.2,100.3,97.5,109.6,98.5,93.4,Base,Base
89,2014-06-01T00:00:00,145.9,133.8,127.8,67.7,40.3,12.2,Tax,Taxe
90,2014-06-01T00:00:00,238.1,234.1,225.3,177.3,138.8,105.6,Total,Totale
91,2014-07-01T00:00:00,94.1,100.1,96.7,111.8,93.9,90.4,Base,Base
92,2014-07-01T00:00:00,146.3,132.3,126.3,67.5,40.1,12,Tax,Taxe
93,2014-07-01T00:00:00,240.4,232.4,223,179.3,134,102.4,Total,Totale
94,2014-08-01T00:00:00,90.6,96.8,92.5,106.1,92,88.3,Base,Base
95,2014-08-01T00:00:00,145,131.7,125.4,73.1,40,12.3,Tax,Taxe
96,2014-08-01T00:00:00,235.6,228.5,217.9,179.2,132,100.6,Total,Totale
97,2014-09-01T00:00:00,88,94.7,89.6,101.1,91.1,86.7,Base,Base
98,2014-09-01T00:00:00,142.5,128.7,122.4,70.4,39.9,12.4,Tax,Taxe
99,2014-09-01T00:00:00,230.5,223.4,212,171.5,131,99.1,Total,Totale
100,2014-10-01T00:00:00,84.7,88.2,86.7,99.5,83.4,81.4,Base,Base
101,2014-10-01T00:00:00,142.2,127.5,122,71,39.6,12.6,Tax,Taxe
102,2014-10-01T00:00:00,226.9,215.7,208.7,170.5,123,94,Total,Totale
103,2014-11-01T00:00:00,79.6,83.9,81.1,89.1,77.7,74.6,Base,Base
104,2014-11-01T00:00:00,140.5,126.2,120.2,66.6,39.3,12.7,Tax,Taxe
105,2014-11-01T00:00:00,220.1,210.1,201.3,155.7,117,87.3,Total,Totale
106,2014-12-01T00:00:00,71.3,71.5,72.1,83.2,65,64.7,Base,Base
107,2014-12-01T00:00:00,139.9,124.5,119,65.4,38.6,12.9,Tax,Taxe
108,2014-12-01T00:00:00,211.2,196,191.1,148.6,103.6,77.6,Total,Totale
109,2015-01-01T00:00:00,59.3,61.5,61,75.8,54.5,54.1,Base,Base
110,2015-01-01T00:00:00,139.7,121.4,118.8,68.2,38.1,13.6,Tax,Taxe
111,2015-01-01T00:00:00,199,182.9,179.8,144,92.6,67.7,Total,Totale
112,2015-02-01T00:00:00,59.7,67.1,66.7,72.6,62.6,59.2,Base,Base
113,2015-02-01T00:00:00,145.4,123.4,120.8,70,38.5,14,Tax,Taxe
114,2015-02-01T00:00:00,205.1,190.5,187.5,142.6,101.1,73.2,Total,Totale
115,2015-03-01T00:00:00,64.8,72.1,71.4,76.8,69.4,68,Base,Base
116,2015-03-01T00:00:00,144.2,120,117.5,69.8,38.9,14.1,Tax,Taxe
117,2015-03-01T00:00:00,209,192.1,188.9,146.6,108.3,82.1,Total,Totale
118,2015-04-01T00:00:00,66.5,75.5,72.2,75.5,70.3,65.6,Base,Base
119,2015-04-01T00:00:00,141.7,118.3,115.4,68.9,38.9,14.9,Tax,Taxe
120,2015-04-01T00:00:00,208.2,193.8,187.6,144.4,109.2,80.5,Total,Totale
121,2015-05-01T00:00:00,71.7,81.1,77,75.5,75.5,72.8,Base,Base
122,2015-05-01T00:00:00,145.3,121.4,118.1,67.3,39.2,14.4,Tax,Taxe
123,2015-05-01T00:00:00,217,202.5,195.1,142.8,114.7,87.2,Total,Totale
124,2015-06-01T00:00:00,75,83.1,79.1,77.1,81.3,76.6,Base,Base
125,2015-06-01T00:00:00,148.8,123.8,120.6,66.9,39.5,14.8,Tax,Taxe
126,2015-06-01T00:00:00,223.8,206.9,199.7,144,120.8,91.4,Total,Totale
127,2015-07-01T00:00:00,78.4,85.4,79.9,80.2,80.1,79.4,Base,Base
128,2015-07-01T00:00:00,154.7,126.4,123,69.9,39.4,15.4,Tax,Taxe
129,2015-07-01T00:00:00,233.1,211.8,202.9,150.1,119.5,94.8,Total,Totale
130,2015-08-01T00:00:00,75.9,78.9,75,76.6,70.5,75.6,Base,Base
131,2015-08-01T00:00:00,157.5,129,125.7,71,38.9,15.8,Tax,Taxe
132,2015-08-01T00:00:00,233.4,207.9,200.7,147.6,109.4,91.4,Total,Totale
133,2015-09-01T00:00:00,69.4,72.4,67.5,76,64.7,67.1,Base,Base
134,2015-09-01T00:00:00,155.1,129.8,126.2,73.3,38.6,15.8,Tax,Taxe
135,2015-09-01T00:00:00,224.5,202.2,193.7,149.3,103.3,82.9,Total,Totale
136,2015-10-01T00:00:00,66.6,67.2,66.4,74.7,64.7,64.4,Base,Base
137,2015-10-01T00:00:00,154.8,128.8,126,73.3,40.6,15.8,Tax,Taxe
138,2015-10-01T00:00:00,221.4,196,192.4,148,105.3,80.2,Total,Totale
139,2015-11-01T00:00:00,63.3,65.4,63.2,70.5,67.2,59.9,Base,Base
140,2015-11-01T00:00:00,153,123.4,120.4,71.7,38.7,15.8,Tax,Taxe
141,2015-11-01T00:00:00,216.3,188.8,183.6,142.2,105.9,75.7,Total,Totale
142,2015-12-01T00:00:00,59.4,65.3,63.7,67.9,63.2,57.5,Base,Base
143,2015-12-01T00:00:00,155,128.7,126.5,74,38.5,16.3,Tax,Taxe
144,2015-12-01T00:00:00,214.4,194,190.2,141.9,101.7,73.8,Total,Totale
145,2016-01-01T00:00:00,55,62,63.3,63.4,57.5,56.3,Base,Base
146,2016-01-01T00:00:00,153.5,132,132.6,78.3,38.3,16.9,Tax,Taxe
147,2016-01-01T00:00:00,208.5,194,195.9,141.7,95.8,73.2,Total,Totale
148,2016-02-01T00:00:00,52.4,56.6,60.1,58,52,47.8,Base,Base
